Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
TCGA_91_6847_01A	1.67E-01	0.00E+00	6.92E-02	8.58E-02	1.38E-01	2.19E-01	1.83E-01
TCGA_95_7039_01A	9.45E-01	1.29E-01	9.75E-01	4.93E-01	6.97E-01	7.09E-01	3.54E-01
TCGA_95_7043_01A	1.12E+00	1.08E-01	1.07E+00	4.20E-01	7.61E-01	5.30E-01	2.64E-01
TCGA_95_7948_01A	1.40E-01	0.00E+00	1.22E-01	8.02E-02	9.30E-02	1.45E-01	1.91E-01
TCGA_95_A4VK_01A	2.22E-01	9.58E-02	2.28E-01	0.00E+00	0.00E+00	6.68E-02	5.41E-02
TCGA_95_A4VN_01A	3.58E-01	0.00E+00	4.86E-01	1.23E-01	4.12E-01	3.58E-01	3.89E-01
TCGA_95_A4VP_01A	1.36E-01	7.83E-02	1.12E-01	3.00E-02	9.68E-02	8.43E-02	1.10E-01
TCGA_97_7547_01A	1.32E-01	0.00E+00	1.20E-01	8.51E-02	2.25E-01	1.87E-01	1.87E-01
TCGA_97_7553_01A	6.52E-02	9.94E-02	9.86E-02	8.03E-02	1.55E-01	2.13E-01	2.14E-01
TCGA_97_7941_01A	1.51E-01	8.18E-02	6.57E-02	9.05E-02	1.09E-01	1.00E-01	1.64E-01
TCGA_97_8175_01A	5.79E-02	0.00E+00	4.79E-02	2.97E-02	8.27E-02	7.42E-02	7.13E-02
TCGA_97_A4M0_01A	3.55E-01	0.00E+00	4.25E-01	3.25E-01	2.31E-01	2.80E-01	1.81E-01
TCGA_97_A4M1_01A	1.41E-02	0.00E+00	1.00E-02	1.00E-02	1.00E-02	1.41E-02	2.56E-02
TCGA_97_A4M3_01A	1.89E-01	9.53E-02	1.12E-01	5.91E-02	1.25E-01	1.52E-01	8.21E-02
TCGA_99_7458_01A	3.71E-01	1.71E-02	4.49E-01	1.62E-01	2.71E-01	2.13E-01	2.58E-01
TCGA_J2_8194_01A	1.17E-01	0.00E+00	1.29E-01	4.00E-02	5.57E-02	3.26E-02	1.35E-01
TCGA_J2_A4AD_01A	3.59E-01	0.00E+00	2.99E-01	8.44E-02	2.61E-01	2.11E-01	3.17E-01
TCGA_J2_A4AG_01A	2.50E-01	0.00E+00	1.21E-01	1.39E-01	1.43E-01	2.39E-01	1.51E-01
TCGA_L4_A4E5_01A	2.24E-01	0.00E+00	2.41E-01	3.00E-02	1.07E-01	1.08E-01	8.39E-02
TCGA_L9_A443_01A	2.95E-01	2.42E-01	1.87E-01	1.89E-01	2.20E-01	2.83E-01	1.86E-01
TCGA_L9_A444_01A	4.23E-01	3.09E-01	4.54E-01	4.32E-01	3.89E-01	4.27E-01	3.09E-01
TCGA_MP_A4T4_01A	3.61E-01	0.00E+00	4.52E-01	1.34E-01	3.58E-01	2.65E-01	1.10E-01
TCGA_MP_A4T9_01A	1.41E-02	0.00E+00	1.00E-02	1.00E-02	1.00E-02	1.41E-02	2.56E-02
TCGA_MP_A4TF_01A	3.23E-01	0.00E+00	2.86E-01	1.65E-01	2.78E-01	3.67E-01	3.07E-01
TCGA_MP_A4TH_01A	1.95E-01	0.00E+00	2.17E-01	1.00E-02	5.86E-02	5.98E-02	1.26E-01
TCGA_NJ_A4YQ_01A	8.65E-01	0.00E+00	8.53E-01	4.83E-01	5.98E-01	6.00E-01	3.08E-01
TCGA_NJ_A55O_01A	2.12E-01	0.00E+00	1.93E-01	3.71E-02	1.46E-01	1.32E-01	7.05E-02
TCGA_O1_A52J_01A	1.52E-01	0.00E+00	1.67E-01	7.72E-02	2.17E-01	1.68E-01	1.94E-01
