Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
TCGA_L4_A4E5_01A	0.00E+00	2.18E-01	2.30E-01	3.00E-02	8.77E-02	7.59E-02	4.85E-02	7.69E-02
TCGA_L9_A443_01A	2.35E-01	2.68E-01	1.65E-01	1.52E-01	2.57E-01	2.23E-01	1.86E-01	2.26E-01
TCGA_L9_A444_01A	3.26E-01	3.86E-01	4.24E-01	4.24E-01	4.21E-01	3.22E-01	1.58E-01	3.26E-01
TCGA_MP_A4T4_01A	1.00E-02	3.39E-01	4.23E-01	1.60E-01	4.07E-01	1.99E-01	9.00E-02	1.67E-01
TCGA_MP_A4T9_01A	0.00E+00	1.71E-02	0.00E+00	0.00E+00	0.00E+00	1.00E-02	2.56E-02	1.71E-02
TCGA_MP_A4TF_01A	0.00E+00	3.00E-01	3.00E-01	1.73E-01	1.85E-01	2.27E-01	3.04E-01	3.50E-01
TCGA_MP_A4TH_01A	0.00E+00	1.84E-01	2.17E-01	2.00E-02	8.68E-02	4.56E-02	1.09E-01	1.41E-02
TCGA_NJ_A4YQ_01A	0.00E+00	7.12E-01	8.47E-01	4.25E-01	6.64E-01	5.16E-01	2.11E-01	3.94E-01
TCGA_NJ_A55O_01A	0.00E+00	1.94E-01	1.84E-01	2.23E-02	1.37E-01	1.56E-01	6.51E-02	4.09E-02
TCGA_O1_A52J_01A	0.00E+00	1.65E-01	1.26E-01	6.20E-02	1.83E-01	2.00E-01	1.84E-01	1.34E-01
